"","Word","AmbiguityType","Length","Meanings","Senses","fSense","famfRes","eDom_biggest","colN","nLet","nSyll","nMeanings","nSenses","OLD","Imageability","ZipfFreq_Subtlex","OLD20","nsyl","coltN","nMeanings_WMD","nSenses_WMD"
"15","belt","Polysemy",4,"One","Many",2,1.07428571428571,NA,NA,NA,NA,NA,NA,NA,NA,4.32,1.35,1,11,1,11
"16","bench","Unambiguous",5,"One","Few",1,0.486061253561252,NA,NA,NA,NA,NA,NA,NA,NA,4.2,1.65,1,6,1,6
"17","bind","Polysemy",4,"One","Many",2,-1.31857142857143,NA,NA,NA,NA,NA,NA,NA,NA,3.48,1.2,1,12,1,13
"18","bird","Unambiguous",4,"One","Few",1,1.34320411070411,NA,NA,NA,NA,NA,NA,NA,NA,4.85,1.7,1,4,1,5
"19","birth","Unambiguous",5,"One","Few",1,0.236061253561252,NA,NA,NA,NA,NA,NA,NA,NA,4.61,1.7,1,5,1,4
"20","blame","Unambiguous",5,"One","Few",1,0.378918396418396,NA,NA,NA,NA,NA,NA,NA,NA,4.66,1.6,1,4,1,4
"21","blank","Polysemy",5,"One","Many",2,0.431428571428571,NA,NA,NA,NA,NA,NA,NA,NA,4.12,1.55,1,6,1,12
"22","blaze","Hybrid",5,"Many","Many",2,-0.309378306878307,85,6,5,1,3,11,1.4,179,3.61,1.45,1,5,3,11
"23","bless","Unambiguous",5,"One","Few",1,-0.299653032153033,NA,NA,NA,NA,NA,NA,NA,NA,4.26,1.9,1,1,1,5
"24","bluff","Homonymy",5,"Many","Few",1,-0.801163003663004,84,1,5,1,2,8,1.8,179,3.36,1.8,1,1,2,8
"25","boil","Homonymy",4,"Many","Few",1,0.41312271062271,77,8,4,1,2,9,1.4,106,4.08,1.45,1,8,2,9
"26","bolt","Hybrid",4,"Many","Many",2,-0.345092592592593,89,17,4,1,2,15,1,121,4,1.35,1,12,2,15
"27","bomb","Unambiguous",4,"One","Few",1,0.628918396418396,NA,NA,NA,NA,NA,NA,NA,NA,4.49,1.7,1,4,1,8
"28","bond","Unambiguous",4,"One","Few",1,-0.371081603581604,NA,NA,NA,NA,NA,NA,NA,NA,4.46,1.35,1,8,1,6
"29","boom","Hybrid",4,"Many","Many",2,0.29776455026455,82,12,4,1,2,12,1.05,179,4.5,1.25,1,10,2,12
"30","boot","Unambiguous",4,"One","Few",1,1.05748982498982,NA,NA,NA,NA,NA,NA,NA,NA,4.43,1,1,18,1,8
"31","bound","Hybrid",5,"Many","Many",2,-1.02366402116402,41,7,5,1,4,13,1.45,179,4.34,1.5,1,7,4,13
"32","bow","Hybrid",3,"Many","Many",2,0.0120502645502647,NA,NA,NA,NA,NA,NA,NA,NA,4.22,1,1,19,3,20
"33","bowl","Hybrid",4,"Many","Many",2,1.22633597883598,67,10,4,1,2,14,1.25,145,4.69,1.35,1,9,2,14
"34","brace","Polysemy",5,"One","Many",2,-0.568571428571429,NA,NA,NA,NA,NA,NA,NA,NA,3.66,1.5,1,6,1,11
"35","brag","Unambiguous",4,"One","Few",1,-0.192510175010176,NA,NA,NA,NA,NA,NA,NA,NA,2.92,1.35,1,9,1,5
"36","brake","Homonymy",5,"Many","Few",1,0.270265567765567,96,5,5,1,3,7,1.45,91,3.84,1.45,1,6,3,7
"37","bread","Unambiguous",5,"One","Few",1,1.16463268213268,NA,NA,NA,NA,NA,NA,NA,NA,4.69,1.5,1,6,1,4
"38","buck","Hybrid",4,"Many","Many",2,0.119193121693121,68,18,4,1,4,13,1,179,3.96,1.2,1,15,4,13
"39","buff","Homonymy",4,"Many","Few",1,-1.12259157509158,65,13,4,1,2,9,1.1,179,3.37,1.45,1,9,2,9
"40","bug","Unambiguous",3,"One","Few",1,1.09320411070411,NA,NA,NA,NA,NA,NA,NA,NA,4.07,1,1,19,1,6
"41","bunk","Homonymy",4,"Many","Few",1,-0.694020146520147,91,18,4,1,2,4,1,179,3.45,1.25,1,13,2,4
"42","burn","Polysemy",4,"One","Many",2,0.86,NA,NA,NA,NA,NA,NA,NA,NA,4.4,1.4,1,7,1,14
"43","bush","Homonymy",4,"Many","Few",1,0.305979853479853,87,14,4,1,2,6,1.05,119,4.29,1.2,1,12,2,6
"44","bust","Hybrid",4,"Many","Many",2,-0.916521164021164,69,16,4,1,2,12,1,179,4.12,1.15,1,13,2,12
"45","calm","Unambiguous",4,"One","Few",1,0.914632682132681,NA,NA,NA,NA,NA,NA,NA,NA,4.72,1.65,1,5,1,6
"46","camp","Homonymy",4,"Many","Few",1,0.627408424908424,90,11,4,1,2,9,1,151,4.57,1.15,1,9,2,9
"47","capital","Hybrid",7,"Many","Many",2,-0.345092592592593,91,2,7,3,2,11,2.15,96,4.77,NA,NA,NA,2,11
"48","card","Homonymy",4,"Many","Few",1,1.09169413919414,91,21,4,1,2,6,1,144,4.89,1.15,1,12,2,6
"49","cast","Polysemy",4,"One","Many",2,-0.568571428571429,NA,NA,NA,NA,NA,NA,NA,NA,4.58,1,1,18,1,18
"50","cat","Homonymy",3,"Many","Few",1,1.948836996337,92,38,3,1,2,5,1,170,4.83,1,1,23,2,5
"51","charm","Polysemy",5,"One","Many",2,-0.461428571428571,NA,NA,NA,NA,NA,NA,NA,NA,4.19,1.6,1,5,1,11
"52","chase","Hybrid",5,"Many","Many",2,0.440621693121693,86,5,5,1,3,12,1.4,179,4.31,1.45,1,5,3,12
"53","cheat","Polysemy",5,"One","Many",2,1.03857142857143,NA,NA,NA,NA,NA,NA,NA,NA,3.87,1.65,1,4,1,11
"54","chess","Homonymy",5,"Many","Few",1,0.0559798534798528,96,4,5,1,3,3,1.7,179,3.91,1.75,1,4,3,3
"55","chill","Polysemy",5,"One","Many",2,0.217142857142858,NA,NA,NA,NA,NA,NA,NA,NA,4.05,1.75,1,1,1,12
"56","chip","Homonymy",4,"Many","Few",1,0.448836996336996,75,14,4,1,2,8,1.05,179,4.26,1.25,1,10,2,8
"57","clam","Unambiguous",4,"One","Few",1,0.307489824989824,NA,NA,NA,NA,NA,NA,NA,NA,3.35,1.4,1,7,1,5
"58","clap","Polysemy",4,"One","Many",2,0.645714285714286,NA,NA,NA,NA,NA,NA,NA,NA,3.92,1.2,1,11,1,11
"59","clip","Hybrid",4,"Many","Many",2,0.226335978835979,62,9,4,1,2,16,1.4,179,4.26,1.6,1,6,2,16
"60","clock","Homonymy",5,"Many","Few",1,1.41312271062271,96,8,5,1,2,4,1.4,167,4.89,1.45,1,8,2,4
"61","clutch","Hybrid",6,"Many","Many",2,-0.273664021164021,86,1,6,1,2,12,1.9,179,3.54,1.95,1,1,2,12
"62","coal","Unambiguous",4,"One","Few",1,0.450346967846967,NA,NA,NA,NA,NA,NA,NA,NA,4.32,1.5,1,7,1,3
"63","comb","Unambiguous",4,"One","Few",1,0.236061253561252,NA,NA,NA,NA,NA,NA,NA,NA,3.59,1.5,1,6,1,9
"64","compound","Hybrid",8,"Many","Many",2,-1.13080687830688,66,0,8,2,2,14,2.6,179,3.79,2.7,2,0,2,14
"65","cord","Unambiguous",4,"One","Few",1,-0.478224460724461,NA,NA,NA,NA,NA,NA,NA,NA,3.65,1.15,1,12,1,8
"66","corn","Homonymy",4,"Many","Few",1,1.30597985347985,89,21,4,1,2,7,1,161,3.94,1.05,1,13,2,7
"67","corrupt","Hybrid",7,"Many","Many",2,-0.845092592592593,NA,NA,NA,NA,NA,NA,NA,NA,3.69,2.75,2,0,2,22
"68","cost","Hybrid",4,"Many","Many",2,0.512050264550265,100,17,4,1,2,12,1,24,5.17,1.15,1,13,2,12
"69","costume","Homonymy",7,"Many","Few",1,0.270265567765567,NA,NA,NA,NA,NA,NA,NA,NA,4.17,2.45,2,0,2,8
"70","cottage","Homonymy",7,"Many","Few",1,-0.301163003663004,NA,NA,NA,NA,NA,NA,NA,NA,4.5,1.85,2,1,2,4
"71","couch","Homonymy",5,"Many","Few",1,0.877408424908424,NA,NA,NA,NA,NA,NA,NA,NA,3.62,1.6,1,6,2,8
"72","cough","Hybrid",5,"Many","Many",2,0.79776455026455,NA,NA,NA,NA,NA,NA,NA,NA,3.68,1.55,1,8,2,12
"73","counsel","Hybrid",7,"Many","Many",2,-1.23794973544974,NA,NA,NA,NA,NA,NA,NA,NA,3.45,2.45,2,0,2,12
"74","count","Hybrid",5,"Many","Many",2,0.404907407407407,87,3,5,1,3,21,1.65,58,4.71,1.7,1,3,3,21
"75","crab","Homonymy",4,"Many","Few",1,0.948836996336996,71,9,4,1,2,9,1.4,152,4.21,1.55,1,7,2,9
"76","crack","Polysemy",5,"One","Many",2,-0.0685714285714285,NA,NA,NA,NA,NA,NA,NA,NA,4.53,1.6,1,6,1,15
"77","crash","Hybrid",5,"Many","Many",2,0.690621693121693,96,5,5,1,2,15,1.65,179,4.54,1.65,1,5,2,15
"78","creep","Polysemy",5,"One","Many",2,-0.0685714285714285,NA,NA,NA,NA,NA,NA,NA,NA,3.72,1.7,1,4,1,12
"79","crib","Polysemy",4,"One","Many",2,0.181428571428571,NA,NA,NA,NA,NA,NA,NA,NA,3.21,1.85,1,1,1,11
