"","Word","SemD_P1_U","SemD_P1_W","SemD_P2_U","SemD_P2_W","SemD_H13","ContextCount_P1_U","ContextCount_P1_W","ContextCount_P2_U","ContextCount_P2_W","ContextCount_H13","Freq"
"40","abdominal",1.16751032151078,2.06695169469463,1.15504455737648,2.02774102335341,1.083,308,308,260,260,309,3.71
"41","abduct",NA,NA,1.40439250682036,2.08727830143299,NA,NA,NA,162,162,NA,2.52
"42","abducted",1.43245217451024,1.9398990875272,NA,NA,1.517,145,145,NA,NA,148,3.24
"43","abduction",1.40644462391577,1.89437189839556,1.43527493355509,2.17355642772025,1.483,143,143,146,146,146,3.36
"44","abdul",1.13129166650379,1.82145703092237,1.05863221660383,1.7644211843176,1.09,184,184,175,175,184,3.42
"45","abdullah",0.797642933104911,1.39302223500737,0.829894992830732,1.40751707261383,0.75,129,129,120,120,131,3.36
"46","abel",1.73891805277296,2.23523069405917,1.70260801965592,2.58746719742864,1.86,126,126,125,125,128,3.25
"47","abercrombie",NA,NA,0.851474911512638,1.81323602043404,NA,NA,NA,43,43,NA,2.92
"48","aberdeen",1.26227121492738,2.04030421692933,1.22346988951933,2.11743773139566,1.34,818,818,761,761,837,4.16
"49","aberdeens",0.75261058107606,1.3303436252239,NA,NA,0.86,59,59,NA,NA,60,1.3
"50","aberdeenshire",1.17911726198299,1.77247017203573,1.10671166108855,1.94885202834497,1.32,56,56,52,52,56,2.81
"51","abergavenny",1.16887196828595,1.77276150060625,1.23946686569887,1.93027228332326,1.3,43,43,40,40,43,2.76
"52","aberrant",1.62151387167459,2.28238634114307,1.62422789137632,2.54883554142199,1.623,79,79,78,78,79,2.96
"53","aberration",1.71799550215944,2.04060432652638,1.71720152718968,2.43515080504554,1.944,138,138,166,166,138,3.17
