Word,cosMean,SemD,WordCount,nContexts
blood,0.251368748,1.992122798,9704,5644
blooded,0.264443283,1.918969762,338,289
bloodied,0.386200603,1.372577678,90,89
bloodless,0.263149553,1.926045152,91,90
bloods,0.282709717,1.822606626,51,43
bloodshed,0.240704517,2.054664879,146,136
bloodshot,0.45399919,1.139238371,59,58
bloodstained,0.389256969,1.361205226,98,93
bloodstream,0.218861701,2.191908579,156,126
bloody,0.376157842,1.410589927,3320,2503
bloom,0.257837465,1.955466183,493,382
bloomed,0.353914655,1.498526594,52,52
bloomfield,0.236624576,2.079328175,74,62
blooming,0.311379162,1.683255695,110,104
blooms,0.316087103,1.661605921,310,220
bloomsbury,0.338916112,1.56099987,255,173
blossom,0.308829427,1.695117868,348,287
blossomed,0.288941824,1.791149048,131,130
blossoming,0.28686993,1.801531345,94,93
blossoms,0.322217519,1.63389316,127,105
blot,0.176058149,2.50587609,302,214
blotched,0.395739031,1.337378731,58,53
blots,0.203081545,2.299868954,76,63
blotted,0.241116357,2.052198572,114,110
blotting,0.201213378,2.313201868,187,127
blouse,0.502482198,0.99285561,445,374
blouses,0.356409668,1.488391621,94,85
blow,0.272421627,1.876086852,2919,2570
blower,0.280723926,1.832776067,73,58
blowing,0.29861852,1.743624454,891,838
blown,0.263462604,1.924329896,1317,1202
blows,0.288198635,1.794864593,584,545
blue,0.294761185,1.762381535,10051,7137
bluebell,0.281297844,1.829829599,55,48
bluebells,0.326628878,1.614275748,65,60
blueprint,0.215244599,2.215951058,317,271
blueprints,0.222463268,2.168360952,95,74
blues,0.302362174,1.725650426,1204,810
bluff,0.297757022,1.747792564,297,269
bluish,0.284453165,1.813736964,84,76
blundell,0.22760294,2.1354089,90,67
blunder,0.316812,1.658301114,193,173
blundered,0.325995282,1.617077008,82,79
blundering,0.355481925,1.492151888,71,71
blunders,0.248821841,2.006814968,92,88
blunkett,0.363969419,1.458110857,90,64
blunt,0.226273924,2.14385776,574,478
blunted,0.225173554,2.150890698,70,66
bluntly,0.284801305,1.811972337,291,288
blur,0.277581214,1.849018162,299,284
blurred,0.240060077,2.058532599,478,455
blurring,0.219459578,2.187972858,152,141
blurted,0.458417866,1.125264825,165,162
blush,0.389277563,1.361128902,276,250
blushed,0.499327391,1.001942047,288,265
blushes,0.354488476,1.496189366,52,52
blushing,0.437302201,1.193297484,179,166
blustery,0.335910128,1.573852799,76,74
blyth,0.24078721,2.054169333,194,120
bm,0.209294383,2.256394501,90,45
bma,0.313413168,1.673862299,141,96
bmc,0.408628191,1.291139356,108,47
bmw,0.336476098,1.571424069,482,296
bmws,0.346279446,1.529991338,76,60
bn,0.27590936,1.857733697,1117,550
bnfl,0.450083503,1.151735408,239,66
bnp,0.279182074,1.840721784,118,56
bo,0.217449219,2.201249566,170,118
boa,0.322337763,1.633354882,51,45
boar,0.294213798,1.765063186,331,176
board,0.199377588,2.32642485,13802,7815
boarded,0.307415172,1.701739724,320,296
boarders,0.358616131,1.479487712,101,75
boarding,0.306481359,1.706128765,645,549
boardman,0.346231694,1.530190301,91,63
boardroom,0.276338829,1.855489803,230,195
boards,0.193537892,2.369312044,3100,1958
boars,0.255558135,1.968276581,107,73
boast,0.241291187,2.05115287,417,406
boasted,0.272113441,1.877719875,306,300
boasting,0.236098631,2.082538421,157,154
boasts,0.241751797,2.048401484,425,416
boat,0.29725352,1.750234199,4716,2596
boathouse,0.399393973,1.324115532,99,68
boating,0.272012496,1.878255164,132,123
boatman,0.358520494,1.479872506,75,55
boatmen,0.297848428,1.747349752,71,54
boats,0.284863854,1.811655525,1953,1273
boatyard,0.452105122,1.145269833,67,46
bob,0.275675051,1.858959389,3461,2137
bobbed,0.425194044,1.233806707,136,131
bobbies,0.364026418,1.457884941,59,49
bobbing,0.352171534,1.505649796,193,185
bobby,0.375344313,1.413713472,876,578
bobs,0.326379492,1.615377685,220,172
bode,0.195363458,2.355767455,60,49
bodice,0.472608351,1.081282974,145,111
bodied,0.20224771,2.305804725,362,309
bodies,0.186978589,2.419055022,6361,4622
bodily,0.246279139,2.021633667,875,648
bodleian,0.381696808,1.389500972,75,63
bodmin,0.280252695,1.835199848,77,51
body,0.211766185,2.239455859,22896,13451
bodyguard,0.318997812,1.648381568,165,137
bodyguards,0.298936124,1.742090848,100,87
bodys,0.221375968,2.175429479,438,344
bodywork,0.324765531,1.622529573,73,62
boeing,0.287834944,1.796686347,327,187
boer,0.301657779,1.729015308,139,120
boffins,0.274778288,1.863660085,56,52
bog,0.27919889,1.840634891,363,283
bogart,0.418781243,1.255731269,58,46
bogey,0.394286537,1.342683644,140,106
bogged,0.22967658,2.122324342,129,123
boggling,0.258297763,1.952892946,69,67
boggy,0.359251277,1.476934808,65,61
bogie,0.337385614,1.567529634,114,63
bogies,0.398252455,1.328244841,125,64
bognor,0.26298841,1.926928875,86,52
bogs,0.25217093,1.987526124,166,115
bogus,0.267230163,1.903845238,311,256
bogwood,0.825131401,0.27730421,91,42
bohemia,0.283566036,1.818243348,207,130
bohemian,0.294806615,1.762159197,180,145
boil,0.271284228,1.88212292,670,491
boiled,0.261909174,1.932861498,645,557
boiler,0.236125244,2.08237581,575,357
boilers,0.245765764,2.02464414,175,131
boiling,0.244903621,2.029713989,781,608
boils,0.237750252,2.072481223,133,121
bois,0.280846228,1.832147671,110,76
boisterous,0.295865823,1.756985044,129,127
bold,0.229641689,2.122543521,1168,1043
bolder,0.21311417,2.230301571,126,118
boldly,0.262943072,1.927177609,347,341
boldness,0.2451961,2.027992062,94,91
bolivia,0.264377871,1.919326672,294,185
bolivian,0.288754375,1.79208529,127,79
bollocks,0.427259656,1.226814996,145,120
bologna,0.276212279,1.856150639,191,126
bolshevik,0.407881504,1.293778009,231,162
bolsheviks,0.443075651,1.174375047,213,112
bolshevism,0.389288919,1.361086815,57,47
bolsover,0.379231226,1.398850335,80,50
bolster,0.17921038,2.480273889,250,245
bolstered,0.184900567,2.435178447,85,85
bolt,0.290662199,1.782584634,742,535
bolted,0.315136963,1.665949116,310,283
bolting,0.262531242,1.929438977,109,81
bolton,0.247147678,2.016554746,488,350
bolts,0.296840947,1.752237979,491,330
bolus,0.27383222,1.868635885,63,42
bomb,0.263495005,1.924152484,2930,1698
bombarded,0.222363102,2.169010679,159,157
bombardment,0.266338469,1.908667274,264,196
bombay,0.253737361,1.978592134,327,222
bombed,0.275419437,1.860297719,338,296
bomber,0.33603175,1.573330543,579,369
bombers,0.290486735,1.78345581,519,382
bombing,0.266318866,1.908773464,1008,682
bombings,0.292404403,1.77396306,179,150
bombs,0.263728516,1.922874519,1139,825
bombshell,0.292035989,1.775781925,100,93
bon,0.274122855,1.867105475,221,174
bona,0.190143461,2.394839769,264,214
bonanza,0.282666273,1.822828338,258,165
bonaparte,0.332097721,1.590320271,64,52
bonar,0.467155522,1.098025174,122,62
bond,0.192796439,2.37484969,2811,1473
bondage,0.298922546,1.74215638,136,127
bonded,0.196621217,2.346509083,258,194
bondholders,0.401306031,1.317225257,107,45
bonding,0.206801645,2.273680436,342,226
bonds,0.198058953,2.335998181,2014,950
bone,0.245867808,2.024045243,2415,1551
boned,0.333314784,1.585042784,143,129
bones,0.280836153,1.832199424,2088,1428
bonfire,0.318574186,1.650298725,223,183
bonfires,0.326583625,1.614475639,87,72
bonhomie,0.355539085,1.491919929,68,67
boniface,0.437302973,1.193294938,87,43
bonn,0.30557024,1.710424051,416,291
bonner,0.283617638,1.817980841,69,52
bonnet,0.318385493,1.651153491,351,308
bonnets,0.316074942,1.661661429,53,50
bonnie,0.31720257,1.656523636,150,115
bonny,0.354644244,1.495555562,98,86
bono,0.348067358,1.522561571,112,68
bonus,0.220205446,2.183077948,1151,886
bonuses,0.236937651,2.077420626,310,235
bony,0.379631345,1.397328978,293,242
boo,0.32762635,1.609876701,193,138
booby,0.332101642,1.590303237,87,70
booed,0.361668399,1.467260547,80,74
boogie,0.402137267,1.314240054,147,88
book,0.24174338,2.048451714,21695,11784
bookable,0.333036849,1.586246281,57,49
bookcase,0.400790017,1.31908152,120,104
bookcases,0.377767177,1.404430737,69,59
booked,0.284860502,1.811672499,1050,903
booker,0.304781772,1.714151474,133,109
bookies,0.398026817,1.329062461,140,116
booking,0.252029924,1.988333058,1059,625
bookings,0.26649214,1.90783511,498,361
bookkeeping,0.253462835,1.980153874,52,43
booklet,0.205951006,2.27962692,850,569
booklets,0.212961373,2.231336315,179,143
bookmaker,0.30346065,1.720418643,55,50
bookmakers,0.392744638,1.348336516,157,129
books,0.244843742,2.030066775,12003,6968
bookseller,0.390304835,1.35732676,246,158
booksellers,0.403792209,1.308315018,415,183
bookselling,0.409591441,1.287742526,67,52
bookshelf,0.249098581,2.005211289,66,61
bookshelves,0.356628458,1.487506264,81,78
bookshop,0.287875163,1.796484772,460,307
bookshops,0.294941149,1.761500978,279,214
boolean,0.326242297,1.615984255,90,53
boom,0.233776891,2.09679577,1477,1091
boomed,0.347455199,1.525101128,174,166
booming,0.25770475,1.956208967,308,296
booms,0.197574838,2.339528866,108,96
boon,0.229866591,2.121131296,279,202
boost,0.21908206,2.190456746,1982,1750
boosted,0.231023145,2.113890701,430,412
booster,0.207892525,2.26609021,141,121
boosting,0.20698342,2.272412889,243,235
boosts,0.211644207,2.240287096,92,90
boot,0.290739374,1.782201631,1406,1045
booted,0.312086623,1.679981576,134,130
booth,0.241399385,2.050506096,587,446
boothroyd,0.32738041,1.610960102,62,45
booths,0.227439371,2.136446082,169,153
bootle,0.344869636,1.535876982,154,104
boots,0.330934789,1.595381132,2549,1867
booty,0.292050302,1.775711218,123,102
booze,0.426758304,1.228508868,265,234
bop,0.391799308,1.351813246,81,55
bordeaux,0.271991084,1.878368735,302,214
border,0.190442768,2.392570595,3924,2705
bordered,0.243032186,2.040780704,228,223
bordering,0.189056075,2.403113885,239,233
borderline,0.200316514,2.319646737,170,157
borders,0.186507103,2.422697516,1395,1101
bore,0.268969572,1.894485122,1403,1307
bored,0.342615266,1.545338657,1282,1138
boredom,0.311207254,1.684052405,539,479
borehole,0.411883551,1.279691585,102,61
boreholes,0.346258191,1.530079894,123,77
bores,0.3029931,1.722643154,86,81
boring,0.296460226,1.754089534,1248,1115
boris,0.262482147,1.929708795,612,463
borland,0.400171152,1.321310926,114,65
born,0.266256584,1.909110893,8402,6340
borne,0.17303912,2.530829862,1210,1117
borneo,0.291653355,1.777673424,154,111
boro,0.639199289,0.645662292,328,166
boros,0.611228469,0.710216353,79,63
borough,0.240776122,2.054235766,1630,1138
boroughs,0.259104109,1.948396202,517,328
