Word,SemD_P1_U,SemD_P1_W,SemD_P2_U,SemD_P2_W,SemD_H13,ContextCount_P1_U,ContextCount_P1_W,ContextCount_P2_U,ContextCount_P2_W,ContextCount_H13
anguish,1.534037748,1.607361869,1.459012419,1.979389099,1.649,480,480,473,473,485
anguished,1.462008858,1.413226945,1.380097735,1.913244502,1.559,176,176,179,179,182
angular,1.319247531,2.223804005,1.449631145,2.615916295,1.398,311,311,296,296,315
angus,1.319683561,1.860387016,1.296482146,2.061935588,1.45,380,380,342,342,387
animal,1.467413426,2.157102765,1.597808503,2.448330265,1.543,3731,3731,5236,5236,3794
animals,1.367343746,2.102642767,,,1.438,3984,3984,,,4065
animate,1.293229893,1.92047924,1.481394231,2.323038885,1.36,93,93,162,162,94
animated,1.598034733,1.857281613,1.523837108,2.149525531,1.728,360,360,303,303,365
animation,1.310713973,2.026117957,1.329303667,2.353663592,1.348,218,218,218,218,224
animosity,1.710070678,2.100492195,1.718208923,2.603302942,1.746,165,165,172,172,168
anion,,,0.940071412,1.953189053,,,,42,42,
anita,1.492773177,1.755834097,1.454564055,1.945587745,1.72,156,156,145,145,157
anjou,0.526233881,1.084684042,0.599493489,1.319441962,0.54,93,93,80,80,94
ankara,1.18153004,1.978392651,1.105158385,1.869836717,1.12,72,72,70,70,72
ankle,1.333715045,1.658157843,1.332229569,1.813418492,1.461,729,729,1021,1021,740
ankles,1.279918615,1.460438188,,,1.353,412,412,,,416
ann,1.580093552,1.966163203,1.522093012,2.16388689,1.74,916,916,853,853,945
anna,1.029731686,1.685097055,1.194703629,2.094073706,1.513,695,695,596,596,707
annabel,1.065087146,1.230459169,1.086414809,1.69114407,1.3,85,85,84,84,87
annal,,,1.161811172,2.007929776,,,,131,131,
annals,1.199672042,1.711932471,,,1.328,129,129,,,130
annan,1.118503278,1.689398739,1.139912023,1.84922203,1.21,61,61,54,54,63
annas,0.540962535,1.1495376,,,1.058,123,123,,,124
anne,1.175243936,1.743812522,1.203597116,1.931294092,1.36,1986,1986,1804,1804,2021
annealing,0.915043414,1.862208288,,,0.838,54,54,,,54
annes,0.997552354,1.663582449,,,1.19,299,299,,,305
annesley,0.935534232,1.525006667,0.917409783,1.570196697,1.06,50,50,50,50,51
annette,1.396167988,1.789554365,1.289776235,1.988985341,1.61,77,77,71,71,78
annex,1.555076727,2.663215373,1.720398727,2.832826287,1.565,132,132,287,287,137
annexation,1.210305237,1.995965066,1.205134767,2.113712038,1.239,100,100,103,103,102
annexe,1.32903973,1.935760041,1.25889102,1.984495848,1.428,124,124,115,115,126
annexed,1.681473384,2.495045573,,,1.712,144,144,,,147
annie,1.381566358,1.459437707,1.339484639,1.774826858,1.52,349,349,311,311,357
annies,,,,,1.11,,,,,41
annihilate,,,1.441089972,2.319788451,,,,119,119,
annihilated,1.497394095,1.976210376,,,1.602,60,60,,,61
annihilation,1.408852511,2.12128002,1.397458887,2.440073103,1.528,102,102,101,101,102
anniversaries,1.367694225,1.895403306,,,1.454,65,65,,,69
anniversary,1.655633535,2.213439925,1.646629191,2.347633294,1.72,1464,1464,1394,1394,1498
annotate,,,1.499711378,2.481217524,,,,85,85,
annotated,1.469510412,2.218606997,,,1.545,96,96,,,98
annotation,,,1.272300095,2.265890835,,,,53,53,
announce,1.68220411,2.290516879,1.798648198,2.494803864,1.784,925,925,7003,7003,964
announced,1.830288684,2.369745982,,,1.923,6963,6963,,,7100
announcement,1.767963441,2.384007872,1.678849859,2.471053402,1.85,1819,1819,1919,1919,1858
announcements,1.533998485,2.277894575,,,1.618,300,300,,,308
announcer,1.188698101,1.415883924,1.268632169,1.716760185,1.287,51,51,71,71,53
announces,1.64488443,2.226367621,,,1.783,274,274,,,281
announcing,1.846353206,2.310660016,,,1.986,704,704,,,724
annoy,1.582595031,1.503953132,1.476075206,1.908534383,1.696,170,170,409,409,174
annoyance,1.601596901,1.665806734,1.472080255,2.106982293,1.596,408,408,405,405,410
annoyed,1.526886603,1.387136422,1.48547491,1.912119302,1.624,702,702,515,515,712
annoying,1.662131933,1.860380105,1.552378137,2.206647083,1.785,297,297,257,257,303
annoys,1.487355395,1.799444596,,,1.616,50,50,,,50
anns,1.305176639,1.845407931,,,1.43,65,65,,,66
annual,1.871377913,2.353649675,1.807479426,2.451497894,1.939,5636,5636,5069,5069,5796
annually,1.89431403,2.512362256,1.854253154,2.639272382,1.96,937,937,881,881,967
annuals,0.573341349,1.302904208,,,0.671,69,69,,,70
annuities,1.137318017,1.945222691,,,1.107,46,46,,,46
annuity,1.173221838,2.233033587,1.238852964,2.402217124,1.125,91,91,118,118,92
annul,,,1.552100729,2.417286187,,,,117,117,
annulled,1.534278285,2.307107842,,,1.58,85,85,,,88
annulment,1.130623368,2.038768016,,,1.228,42,42,,,44
annum,1.62055863,2.305848387,1.606752094,2.452827819,1.62,609,609,575,575,623
annunciation,0.991337118,1.675132789,,,1.098,40,40,,,41
anoint,,,1.181062798,2.005438347,,,,93,93,
anointed,1.006302191,1.654551731,,,1.059,97,97,,,98
anomalies,1.650566752,2.452516491,,,1.69,266,266,,,268
anomalous,1.626194009,2.486706026,1.686973781,2.912620348,1.701,218,218,199,199,223
anomaly,1.877003576,2.505600077,1.792465279,2.706267028,1.935,191,191,411,411,195
anon,1.327282628,2.06686739,1.294268583,2.231181586,1.442,58,58,54,54,58
anonymity,1.731634932,2.002527221,1.69957102,2.307413818,1.868,213,213,208,208,217
anonymous,1.729203885,1.988208486,1.689246239,2.259964438,1.883,817,817,779,779,838
anonymously,1.658440378,2.01050885,1.617311968,2.314771176,1.826,97,97,96,96,100
anorak,1.337783996,1.349579621,1.303819769,1.654086076,1.405,141,141,171,171,143
anoraks,1.195603268,1.278973586,,,1.286,51,51,,,51
anorexia,1.101391417,1.980333617,1.1631928,2.164426137,1.077,148,148,130,130,150
anorexic,0.808430653,1.338569292,0.995019442,1.710746636,0.862,88,88,70,70,89
another,2.021264819,2.270110989,1.960447505,2.619498849,2.292,34971,34971,27139,27139,35631
anothers,1.594139342,2.106791332,,,1.67,198,198,,,202
ans,1.032190741,1.820468649,0.875945456,1.773939637,1.1,69,69,51,51,69
anselm,0.509714589,1.161152887,0.568762841,1.569932963,0.57,71,71,50,50,73
anselms,0.210429399,0.529527874,,,0.25,42,42,,,43
ansi,0.689024629,0.933426439,0.555784598,0.793329972,0.74,67,67,64,64,70
anson,,,1.032268567,1.955766395,,,,45,45,
answer,1.891478087,2.145976818,1.829398759,2.473992446,1.954,9266,9266,11419,11419,9476
answerable,1.662905814,2.231928305,1.680784446,2.512641386,1.676,162,162,156,156,164
answered,1.615353046,1.648783442,,,1.655,2876,2876,,,2925
answering,1.798694312,1.940044595,1.56025964,2.166975162,1.842,1001,1001,395,395,1018
answers,1.8154693,2.178011617,,,1.752,2537,2537,,,2607
ant,1.432620159,2.061440146,1.316075444,2.168176252,1.588,245,245,382,382,249
antagonise,,,1.634891167,2.457897532,1.517,,,80,80,49
antagonism,1.730899707,2.165654681,1.63636446,2.460183282,1.832,229,229,261,261,232
antagonisms,1.371059584,1.910133057,,,1.519,46,46,,,46
antagonist,1.342460542,2.413180041,1.453588628,2.557459045,1.105,76,76,139,139,77
antagonistic,1.566781396,2.24008146,1.553230237,2.519944458,1.643,146,146,141,141,147
antagonists,1.345576603,2.3566225,,,1.199,92,92,,,93
antagonize,,,1.606816522,2.598403354,,,,69,69,
antarctic,1.06864622,2.044867588,1.10515382,2.071033465,1.036,241,241,226,226,247
antarctica,0.935598018,1.951717272,0.960558104,1.95963047,0.91,140,140,124,124,145
ante,1.762635187,2.286604302,1.70422078,2.544917785,1.76,252,252,239,239,257
antecedent,1.221447438,1.931659479,1.481108686,2.450588337,1.208,89,89,180,180,90
antecedents,1.494774653,2.138156209,,,1.551,113,113,,,115
antelope,1.060039985,1.634963369,1.006301035,1.831866521,1.143,65,65,83,83,68
antenatal,0.925366551,1.82028716,0.852637697,1.733857342,0.797,80,80,76,76,82
antenna,1.325866379,2.112576939,1.331937669,2.279390507,1.349,55,55,61,61,58
antennae,1.16292743,1.786643174,1.177253078,2.046783562,1.173,111,111,104,104,112
anterior,1.125477724,2.122185898,1.193509125,2.376986708,1.052,123,123,112,112,125
anthea,1.136380556,1.192682352,1.052323408,1.349697537,1.16,64,64,53,53,64
anthem,1.384425811,1.795939802,1.292505648,1.962970633,1.52,208,208,246,246,212
anthems,0.970094177,1.596406097,,,1.134,56,56,,,57
anthology,1.053289956,1.665748865,1.061219234,1.877544485,1.178,152,152,174,174,154
anthony,1.643723168,2.004992919,1.562885267,2.185732444,1.82,1470,1470,1380,1380,1500
anthonys,1.303149337,1.684915654,,,1.55,70,70,,,70
anthropological,0.933305452,1.584598357,0.957326144,1.797938152,0.949,259,259,226,226,264
anthropologist,1.082052292,1.634178157,1.074104255,1.865969957,1.09,154,154,297,297,157
anthropologists,0.903449071,1.399417514,,,0.887,249,249,,,254
anthropology,1.016184279,1.728464036,1.050602809,1.939400859,1.016,348,348,292,292,353
anthropomorphic,1.031957976,1.688088812,0.987827477,1.934768616,1.18,45,45,44,44,45
anti,1.778245571,2.32031105,1.821766153,2.542615019,1.87,5182,5182,4659,4659,5264
antibiotic,1.100364563,2.140855469,1.245509871,2.289409191,1.076,137,137,351,351,140
antibiotics,1.190107831,2.11410309,,,1.194,309,309,,,316
antibodies,1.070461193,2.011868743,,,0.844,273,273,,,277
antibody,0.976478621,1.905151871,1.117539069,2.028380721,0.754,254,254,327,327,256
antic,,,1.545198556,2.002307672,,,,217,217,
anticipate,1.932337155,2.390707543,2.002045554,2.771824396,2.035,601,601,1913,1913,614
anticipated,2.030849361,2.565868864,1.858064581,2.752343786,2.119,1423,1423,430,430,1451
anticipates,1.52121607,2.231608627,,,1.684,130,130,,,133
anticipating,1.953294114,2.37036017,,,2.111,315,315,,,318
anticipation,1.825619245,2.072744349,1.76355187,2.442341827,1.97,723,723,720,720,732
anticipatory,1.820391343,2.252160171,1.746245751,2.638617566,1.933,59,59,57,57,60
antics,1.589509982,1.684682358,,,1.793,220,220,,,222
antidote,1.684153715,1.988230114,1.618091653,2.26642471,1.843,165,165,178,178,167
antigen,0.96344145,1.877180303,1.004056971,1.811006643,0.723,158,158,172,172,159
antigens,0.863275429,1.665746296,,,0.657,98,98,,,98
antigua,1.238591191,2.067291452,1.280032486,2.250014195,1.181,73,73,67,67,74
antioch,0.731502496,1.358052883,0.762776011,1.572211916,0.77,46,46,40,40,46
antipathy,1.676263566,2.106951383,1.687765253,2.395408577,1.861,157,157,167,167,157
antiquarian,1.122255488,1.628717195,1.110875424,1.807784742,1.305,116,116,117,117,118
antiquaries,0.73828387,1.231569453,,,0.911,49,49,,,50
antiquary,,,0.738924734,1.305385232,,,,68,68,
antiquated,1.776755334,2.122199901,1.686921483,2.27951432,1.982,123,123,117,117,123
antique,1.405447104,1.815265178,1.429690475,2.069085975,1.492,650,650,856,856,662
antiques,1.307092493,1.841535419,,,1.402,345,345,,,361
antiquities,0.817510355,1.420998849,,,0.941,166,166,,,170
antiquity,1.108392386,1.756877499,1.133288595,2.024205646,1.247,302,302,416,416,306
antiseptic,1.21748307,1.960261354,1.266065621,2.167974256,1.21,105,105,106,106,109
antithesis,1.434216202,1.879475726,1.421519746,2.157318095,1.579,175,175,177,177,181
antithetical,1.217717583,1.836007113,1.234088593,2.057560961,1.282,53,53,51,51,55
antler,,,1.092888539,1.725758798,,,,75,75,
antlers,1.173604641,1.746995363,,,1.226,58,58,,,61
antoine,1.192719993,2.126971837,1.242879679,2.225030556,1.23,107,107,102,102,109
antoinette,0.885223077,1.091511771,0.925669919,1.594139938,1.01,103,103,88,88,106
anton,1.470920807,2.136858578,1.482918706,2.411165308,1.65,181,181,173,173,184
antonia,1.235293798,1.517769716,1.151244737,1.768959305,1.36,111,111,98,98,112
antonio,1.271884314,2.054776311,1.222530513,2.172020166,1.25,366,366,341,341,371
antony,1.530990805,1.897368388,1.520971511,2.270865861,1.64,132,132,137,137,133
antral,0.623670756,0.99600037,0.622437288,0.952584448,0.329,71,71,61,61,71
antrim,0.714681286,1.504219938,0.655234033,1.483345392,0.85,252,252,234,234,258
antrum,0.772857143,1.315176302,0.764471676,1.255483875,0.463,57,57,50,50,57
ants,1.119518344,1.769657066,,,1.207,223,223,,,229
antwerp,1.344792219,1.886709609,1.34683114,2.101671317,1.5,128,128,113,113,131
anus,1.109485734,2.217514655,1.133006532,2.356945172,1.058,107,107,99,99,111
anvil,1.356328503,1.784244078,1.381520377,2.041932227,1.422,70,70,69,69,70
anwar,1.085432352,1.977007272,1.018105547,2.042022144,1.03,76,76,65,65,76
anxieties,1.62305659,2.13927649,,,1.669,421,421,,,429
anxiety,1.665949681,2.073875189,1.662223743,2.373550133,1.69,1762,1762,1927,1927,1793
anxious,1.867796661,1.980659292,1.787389619,2.335226279,1.994,2609,2609,2463,2463,2654
anxiously,1.529546568,1.339236958,1.410121593,1.795329612,1.598,559,559,543,543,568
any,2.114796956,2.366524115,,,2.315,50849,50849,,,51976
anybody,1.582679573,1.633870604,1.535197359,1.981069833,1.774,1795,1795,1794,1794,1828
anybodys,1.754967437,1.794139791,,,1.91,136,136,,,138
anyhow,1.380514767,1.46719616,1.320083113,1.820156367,1.525,255,255,239,239,260
anymore,1.387862904,1.668683715,1.345882743,1.952023622,1.536,221,221,221,221,225
anyone,1.846060181,1.883609509,1.762361683,2.225428716,2.002,10249,10249,9231,9231,10469
anyones,1.748426129,1.745266399,,,1.92,267,267,,,270
anything,1.763899036,1.789946774,1.709140057,2.215095032,1.925,15492,15492,12888,12888,15781
anytime,1.508669027,1.845157109,1.503200903,2.060463763,1.675,74,74,73,73,83
anyway,1.504383373,1.478517932,1.501039275,1.951054881,1.685,5281,5281,4673,4673,5371
anywhere,1.82539132,1.967916871,1.744444166,2.299627375,2.003,2863,2863,2751,2751,2925
aoun,0.562997482,1.045970905,,,0.48,43,43,,,45
ap,1.473867249,2.317536879,1.534120724,2.463011351,1.5,267,267,286,286,276
apace,1.871214834,2.199165572,1.879899629,2.431278575,2.094,100,100,99,99,101
apache,1.495797381,1.99955854,1.442364874,2.324109916,1.561,56,56,50,50,58
apart,1.999568335,2.221812332,1.921819697,2.527735504,2.23,7882,7882,7365,7365,8023
apartheid,0.836143613,1.752551851,0.961933614,1.895973761,0.864,301,301,281,281,314
apartment,1.40908357,1.466155609,1.428049463,1.981491451,1.484,842,842,982,982,853
apartments,1.23750626,1.870043612,,,1.312,360,360,,,362
apathetic,1.653859755,2.017213567,1.592484853,2.263416423,1.73,92,92,91,91,92
apathy,1.652907876,2.165767655,1.683706966,2.411410799,1.758,230,230,227,227,237
ape,1.410679311,1.891735439,1.293862419,2.159142185,1.486,168,168,252,252,171
aperitif,,,1.098965813,1.884028708,,,,58,58,
aperture,1.316992606,2.029850051,1.276284042,2.088219847,1.353,113,113,137,137,114
apes,0.973506352,1.690147942,,,0.977,148,148,,,149
apex,1.628014319,2.33156947,1.619371093,2.529010956,1.751,181,181,190,190,182
aphid,,,0.679384289,1.423008411,,,,64,64,
aphids,0.634227528,1.26115398,,,0.696,53,53,,,54
aphorism,,,1.48438465,2.052431201,,,,61,61,
aphrodisiac,1.325291751,1.582879962,1.296492056,1.860049643,1.37,64,64,79,79,67
api,0.606687174,0.946151561,0.536746997,0.953753434,0.63,59,59,56,56,62
apical,0.556988311,1.531322264,0.710754102,1.792475747,0.507,65,65,51,51,66
apiece,1.470502903,1.981177214,1.395643029,2.143227428,1.643,184,184,182,182,187
apis,0.772083321,1.506350639,0.617396427,1.324313805,0.78,55,55,51,51,57
aplomb,1.410904433,1.484557054,1.364818776,1.796473976,1.533,75,75,76,76,76
apocalypse,1.3060544,1.724670124,1.30768455,1.950107456,1.475,112,112,109,109,116
apocalyptic,1.31120878,1.80401018,1.35216722,2.246130337,1.43,126,126,113,113,129
apocryphal,1.570133359,1.899858149,1.591362354,2.225992329,1.677,72,72,69,69,73
apogee,1.381018585,2.055176236,1.344880133,2.309512161,1.487,54,54,53,53,54
apolitical,1.373871044,1.984848909,1.418967273,2.21970486,1.493,62,62,60,60,63
apollo,1.334119948,2.073938967,1.318773684,2.336314505,1.39,224,224,214,214,235
apologetic,1.597757135,1.511465779,1.468262816,1.933101944,1.704,206,206,218,218,208
apologetically,1.31404182,1.064709571,1.278811161,1.624030646,1.41,182,182,181,181,183
apologies,1.512205832,1.883996911,,,1.581,358,358,,,367
apologise,1.64711616,1.848746692,1.608226184,2.149603256,1.692,458,458,849,849,471
apologised,1.551852373,1.629186184,,,1.643,339,339,,,341
apologising,1.632336978,1.727394602,,,1.831,106,106,,,106
apologist,,,1.529956158,2.373083688,,,,75,75,
apologize,1.289599377,1.235681236,1.354487589,1.784587245,1.461,158,158,303,303,162
apologized,1.442756013,1.438164854,,,1.54,113,113,,,113
apology,1.644410111,1.741423603,1.592750457,2.139688594,1.708,523,523,817,817,536
apostle,0.942756798,1.573506586,1.026429803,1.867083991,0.919,120,120,230,230,122
apostles,0.915796702,1.614159825,,,0.946,157,157,,,161
apostolic,0.659796468,1.208610807,0.724710231,1.398229342,0.758,80,80,72,72,85
apothecary,1.080425778,1.615878534,1.012678787,1.970226095,1.158,52,52,87,87,52
apotheosis,1.432350783,1.709614942,1.458868136,2.068582169,1.663,53,53,52,52,54
app,0.753781461,1.62748713,1.001582688,2.23915754,0.76,174,174,157,157,179
appal,,,1.499310611,1.925108457,,,,122,122,
appalled,1.669651253,1.589849992,1.615687985,2.096532922,1.803,501,501,415,415,512
appalling,1.772919053,1.905277838,1.694615911,2.161669796,1.945,875,875,836,836,895
appallingly,1.788859824,1.838233277,1.720052971,2.180279822,1.898,101,101,100,100,101
apparatchik,,,1.061899603,1.639018414,,,,49,49,
apparatus,1.657098178,2.305516776,1.69364732,2.600886737,1.731,809,809,769,769,821
apparatuses,0.684439161,1.196138202,,,0.731,40,40,,,40
apparel,1.462512367,2.003971769,1.439090067,2.201486996,1.447,53,53,53,53,53
apparent,2.041412927,2.473089939,2.012830364,2.848878962,2.18,4574,4574,4299,4299,4645
apparently,1.979695462,2.296389183,1.952312021,2.621483592,2.132,5978,5978,5517,5517,6083
apparition,1.312091079,1.383001799,1.210826399,1.657988356,1.375,85,85,112,112,89
appeal,1.696897592,2.299437323,1.856876681,2.532137979,1.794,5710,5710,6595,6595,5882
appealed,1.779716355,2.223224114,,,1.896,1230,1230,,,1251
appealing,1.880095566,2.217086333,1.848031197,2.521821615,2.052,1016,1016,475,475,1033
appeals,1.642392181,2.264730333,,,1.702,1154,1154,,,1188
appear,2.063507817,2.429510347,2.015546846,2.72222659,2.225,8622,8622,17663,17663,8778
appearance,1.899700485,2.208638888,1.855619836,2.507641913,2.092,4458,4458,4729,4729,4523
appearances,1.519607375,1.918838397,,,1.702,829,829,,,842
appeared,1.899696962,2.083143049,,,2.056,8358,8358,,,8484
appearing,1.929922102,2.222003353,,,2.13,1268,1268,,,1292
appears,2.002539213,2.472707579,,,2.152,6192,6192,,,6302
appease,1.75890986,2.18654504,1.74481596,2.545718904,1.874,115,115,159,159,116
appeasement,0.998681791,1.739484607,1.035724392,1.945007469,1.045,71,71,71,71,76
appellant,0.684932902,1.269017476,0.816445519,1.541480656,0.725,133,133,156,156,137
appellants,0.762583641,1.332115723,,,0.788,117,117,,,124
appellate,0.702927825,1.309240509,0.733050087,1.394017927,0.757,98,98,80,80,103
appellation,1.236820817,2.089382469,1.310678681,2.403117653,1.272,49,49,55,55,49
appen,,,0.788004194,1.536485721,,,,42,42,
append,,,1.766579333,2.822908624,,,,122,122,
appendage,,,1.395956382,2.495317492,,,,85,85,
appendages,0.968059705,1.832892926,,,0.985,57,57,,,57
appended,1.829349389,2.46923735,,,1.84,90,90,,,91
appendices,1.32635301,2.194738629,,,1.332,99,99,,,100
appendicitis,1.29194743,1.990646655,,,1.282,40,40,,,40
appendix,1.833912462,2.80260978,1.835606026,3.007941174,1.674,983,983,896,896,1001
appetite,1.655908416,1.926171913,1.641430518,2.266535578,1.764,757,757,859,859,765
appetites,1.592686139,1.876910499,,,1.715,147,147,,,152
applaud,1.783136529,2.01895627,1.790786895,2.328295022,1.955,155,155,458,458,160
applauded,1.793473018,1.954748452,,,1.932,275,275,,,279
applauding,1.836119255,2.03140132,,,1.919,52,52,,,53
applause,1.559061228,1.69217371,1.508726154,1.968067574,1.579,433,433,422,422,448
apple,1.479907239,2.11411615,1.48699133,2.313932397,1.523,1363,1363,1569,1569,1420
appleby,1.431018747,2.152538682,1.417579034,2.404135784,1.47,105,105,98,98,108
apples,1.478160308,2.06964896,,,1.56,553,553,,,574
appleton,1.551185995,2.103116456,1.526040205,2.271473938,1.66,63,63,60,60,66
appliance,1.342057131,2.097230023,1.30580547,2.247477094,1.387,114,114,356,356,116
appliances,1.290153823,2.141789603,,,1.319,302,302,,,308
applicability,1.609660579,2.392885033,1.631111127,2.676541883,1.626,184,184,176,176,188
applicable,1.818692794,2.614065394,1.846422814,2.913105235,1.818,1113,1113,1031,1031,1143
applicant,1.116913543,1.953859667,1.472586301,2.375565333,1.032,471,471,889,889,485
applicants,1.476651145,2.248454332,,,1.388,735,735,,,756
application,1.828213543,2.568910046,1.808014425,2.72839461,1.79,5418,5418,5986,5986,5585
applications,1.490457009,2.321836388,,,1.545,3091,3091,,,3213
applied,2.042659385,2.610219994,1.570503247,2.577372886,2.1,5734,5734,708,708,5855
applies,1.884541908,2.584501048,,,1.898,2144,2144,,,2193
apply,1.974720859,2.554827948,2.047820414,2.860659796,1.966,5300,5300,10004,10004,5432
applying,1.977172059,2.561392506,,,1.988,1666,1666,,,1695
appoint,1.683199455,2.410722069,1.713598204,2.469887949,1.697,780,780,4196,4196,800
appointed,1.68690985,2.339542863,1.712586102,2.443410416,1.786,4528,4528,582,582,4630
appointee,,,1.30212812,2.017309409,,,,139,139,
appointees,1.305940409,1.944987231,,,1.344,110,110,,,110
appointing,1.671271266,2.365892607,,,1.72,317,317,,,321
appointment,1.75990758,2.313680421,1.733741855,2.504277389,1.801,2815,2815,3193,3193,2876
appointments,1.633733465,2.292082444,,,1.669,1020,1020,,,1049
appoints,0.982336831,1.712987662,,,0.987,161,161,,,165
apportion,1.752798492,2.445464533,1.817547005,2.613057957,1.815,47,47,135,135,49
apportioned,1.654315187,2.48269161,,,1.61,62,62,,,63
apportionment,1.580025108,2.488971674,1.615517202,2.64132431,1.496,52,52,54,54,53
apposite,1.640756742,2.178486239,1.644276415,2.473781242,1.741,73,73,70,70,74
appraisal,1.587567826,2.300079565,1.609934739,2.453536947,1.595,632,632,634,634,646
appraisals,1.303525943,1.989006286,,,1.424,76,76,,,77
appraise,1.856670314,2.445415692,1.698102637,2.555350601,1.911,68,68,222,222,68
appraised,1.726005599,2.269175825,,,1.783,98,98,,,98
appraising,1.693539919,2.06711726,,,1.654,91,91,,,91
appreciable,1.660004335,2.615419675,1.687389017,2.904491097,1.692,205,205,200,200,209
appreciably,1.825702108,2.925431314,1.876605378,3.194660811,1.731,130,130,126,126,130
appreciate,1.919265662,2.208123469,1.902941884,2.554415778,2.047,2068,2068,3291,3291,2106
appreciated,1.926843857,2.284368076,,,2.063,1337,1337,,,1370
appreciates,1.764557235,2.108053415,,,1.911,108,108,,,110
appreciating,1.887379666,2.205024722,,,2.013,152,152,,,158
appreciation,1.888075337,2.297242176,1.869833866,2.586782397,1.988,1129,1129,1087,1087,1156
appreciative,1.826083496,1.877944145,1.74417438,2.287006905,1.933,153,153,152,152,159
appreciatively,1.290028137,1.106644819,1.232672121,1.562094983,1.343,111,111,108,108,114
apprehend,1.393454132,1.852536221,1.437552868,2.266209419,1.445,77,77,207,207,78
apprehended,1.485774968,2.003164919,,,1.586,116,116,,,119
apprehension,1.656442267,1.91955955,1.623623989,2.332419529,1.77,458,458,505,505,460
apprehensions,1.776277518,2.196461276,,,1.848,53,53,,,54
apprehensive,1.696970718,1.787724083,1.632295513,2.134075022,1.825,256,256,248,248,259
apprehensively,1.313092602,1.124151948,1.189403533,1.539628195,1.394,85,85,85,85,88
apprentice,1.541355895,1.827346058,1.290057193,2.082344293,1.674,365,365,636,636,369
apprenticed,0.727111057,1.217630957,,,0.86,197,197,,,202
apprentices,1.349761739,1.933491875,,,1.377,195,195,,,198
apprenticeship,1.373606469,1.859933049,1.352415851,2.121920997,1.492,355,355,363,363,361
approach,2.009498763,2.456631115,2.025613254,2.73253521,2.046,10108,10108,12394,12394,10297
approachable,1.74493464,2.013429605,1.732809736,2.359760488,1.899,88,88,88,88,90
approached,1.87059205,2.079899507,,,2.03,2417,2417,,,2465
approaches,1.819503998,2.419752201,,,1.791,2448,2448,,,2505
approaching,1.876699792,2.163384295,1.499227973,2.242203698,2.033,1625,1625,197,197,1648
approbation,1.578021063,1.899717589,1.565214934,2.408769374,1.681,49,49,51,51,51
appropriate,2.024967766,2.566465494,2.02646045,2.859162107,2.072,7973,7973,7090,7090,8156
appropriated,1.503105808,2.139883697,,,1.529,163,163,,,166
appropriately,1.918253139,2.433493108,1.897317743,2.744506306,2,795,795,768,768,813
appropriateness,1.593272381,2.235383402,1.592301642,2.45959813,1.612,182,182,183,183,191
appropriation,1.106971969,2.045233267,1.275237234,2.382603144,1.09,178,178,195,195,182
appropriations,1.038318311,1.991482182,,,0.957,52,52,,,53
approval,1.975694717,2.574672986,1.919105627,2.71538591,1.966,2702,2702,2548,2548,2748
approvals,1.514762432,2.453325662,,,1.458,76,76,,,77
approve,1.930604626,2.345021869,1.842380986,2.62691544,1.976,857,857,3434,3434,867
approved,1.857528916,2.563180421,1.832878464,2.761621539,1.899,3419,3419,695,695,3478
approves,1.889286041,2.337732324,,,2.003,110,110,,,112
approving,1.960593977,2.521433762,,,1.977,204,204,,,206
approvingly,1.612704391,1.47188419,1.497255082,1.942670371,1.692,116,116,118,118,117
approx,1.430736447,2.431903378,1.405910323,2.636004761,1.525,187,187,171,171,191
approximate,1.807592965,2.564916751,1.850879149,2.943894102,1.827,439,439,569,569,447
approximated,1.425663583,2.756678391,,,1.332,67,67,,,67
approximately,2.050102682,2.858237321,2.014588784,3.050171787,2.07,2191,2191,2047,2047,2233
approximates,,,,,1.553,,,,,50
approximating,1.632581037,2.377044742,,,1.675,59,59,,,59
approximation,1.431420814,2.315256138,1.565228495,2.710684982,1.39,243,243,288,288,246
approximations,1.352054018,2.121712815,,,1.355,78,78,,,79
apps,0.804205389,1.559449071,,,0.879,45,45,,,46
apr,1.139689318,2.079268068,1.202783154,2.227450273,1.12,149,149,146,146,156
apricot,1.276562982,1.971018705,1.180855306,2.04628523,1.285,189,189,220,220,193
apricots,0.912138335,1.674454586,,,0.992,64,64,,,64
april,1.787959368,2.35510574,1.784168666,2.487929194,1.906,7898,7898,6741,6741,8095
aprils,1.512625405,1.949547811,,,1.674,55,55,,,57
apron,1.426408689,1.347641146,1.351609213,1.773109465,1.474,363,363,397,397,365
aprons,1.401199496,1.462133962,,,1.455,62,62,,,62
apse,0.380617595,0.870476091,0.451219863,1.069294154,0.439,78,78,70,70,80
apt,1.765908768,1.98550943,1.748735459,2.382379333,1.967,528,528,538,538,539
aptitude,1.597748368,2.201444791,1.525709456,2.341084617,1.618,162,162,209,209,163
aptitudes,1.265074476,1.953157991,,,1.134,56,56,,,59
aptly,1.810315431,2.176917733,1.772434054,2.515830513,2.04,248,248,239,239,253
apu,0.655792712,1.247263978,0.613409531,1.178344066,0.59,48,48,44,44,48
aqua,1.362270798,1.873153483,1.361814408,2.020040785,1.53,82,82,82,82,83
aquaria,0.494519276,1.010952536,,,0.476,55,55,,,56
aquarium,0.429565976,0.928680342,0.517680378,1.176230375,0.447,283,283,216,216,285
aquarius,0.902593833,1.307966574,1.021290559,1.66358335,0.893,60,60,55,55,60
aquatic,0.955762333,1.678246556,0.98686962,1.855394798,1.036,292,292,268,268,296
