Word,SemD_P1_U,SemD_P1_W,SemD_P2_U,SemD_P2_W,SemD_H13,ContextCount_P1_U,ContextCount_P1_W,ContextCount_P2_U,ContextCount_P2_W,ContextCount_H13
ably,1.721102829,2.121861338,1.695821869,2.352210498,1.767,93,93,91,91,96
abnormal,1.534559453,2.433699956,1.547557322,2.585197827,1.478,547,547,512,512,557
abnormalities,1.231296731,2.075278678,,,1.11,273,273,,,277
abnormality,1.346071122,2.246552849,1.306012858,2.242319315,1.267,190,190,361,361,193
abnormally,1.772927375,2.584857671,1.763921932,2.770260379,1.726,130,130,125,125,133
aboard,1.325585605,1.711289472,1.302814609,1.994263265,1.387,730,730,686,686,752
abode,1.567217307,2.042598713,1.560356631,2.376775062,1.648,139,139,141,141,142
abolish,1.683675072,2.319044541,1.724582419,2.501629449,1.736,460,460,1370,1370,465
abolished,1.74541946,2.421394369,,,1.772,907,907,,,922
abolishing,1.646109811,2.243853554,,,1.703,194,194,,,198
abolition,1.612181344,2.200590198,1.575760937,2.290885409,1.688,861,861,810,810,874
abolitionist,0.724025424,1.238987448,0.771322822,1.490964424,0.715,43,43,55,55,43
abolitionists,0.646994111,1.115949308,,,0.623,57,57,,,58
abominable,1.496672192,1.612452531,1.416180638,1.947206644,1.698,75,75,73,73,76
abomination,,,1.388310812,2.040037044,,,,55,55,
aboriginal,1.421322876,2.071697347,1.434830481,2.322208074,1.364,115,115,114,114,117
aborigine,,,1.394142593,2.388819543,,,,57,57,
aborigines,1.344116646,1.947896813,,,1.27,83,83,,,83
abort,1.494254114,2.397453554,1.701203119,2.665367295,1.278,83,83,169,169,84
aborted,1.753561704,2.429364959,,,1.673,128,128,,,130
abortion,1.283700209,2.02245612,1.309177428,2.14140375,1.226,500,500,493,493,512
abortions,1.066448005,1.959636472,,,0.98,128,128,,,131
abortive,1.617043144,2.23194582,1.631823392,2.473184374,1.737,234,234,231,231,237
abound,1.721265958,2.20707719,1.757611794,2.485450245,1.954,262,262,440,440,269
abounded,1.570598261,1.865519702,,,1.798,96,96,,,98
abounds,1.721022809,2.127524398,,,1.99,76,76,,,76
about,2.011263611,2.274042859,,,2.266,59619,59619,,,60941
above,2.09249808,2.451750789,,,2.24,17531,17531,,,17881
abraham,1.261949402,1.843387546,1.233109495,2.117280591,1.37,243,243,234,234,250
abrahams,1.206473261,1.808900898,,,1.33,58,58,,,58
abrams,1.233573901,2.094385605,1.191651407,2.155544548,1.25,63,63,44,44,63
abrasion,1.023505864,1.948609972,1.272113962,2.289372724,1.129,53,53,82,82,54
abrasive,1.437154474,1.97424368,1.447751171,2.27786545,1.499,197,197,199,199,200
abreast,1.723991976,2.081814323,1.735103276,2.420601863,1.834,175,175,169,169,177
abridged,1.517086238,2.113927058,,,1.626,49,49,,,49
abroad,1.852338273,2.290481089,1.80294421,2.44438393,1.935,2906,2906,2699,2699,2963
abrogate,,,1.660053944,2.677308913,,,,78,78,
abrogated,1.59013033,2.422407065,,,1.609,49,49,,,51
abrupt,1.746668196,1.997347291,1.676514336,2.37626236,1.833,445,445,429,429,447
abruptly,1.369368349,1.295078906,1.29859291,1.846995568,1.425,1070,1070,1009,1009,1080
abs,1.072807867,1.873582771,,,1.13,50,50,,,52
abscess,,,1.241077495,2.338892485,,,,62,62,
abscond,,,1.415676594,2.269802524,,,,64,64,
abseil,0.455402487,0.947098454,0.583351316,1.258125634,0.385,41,41,97,97,43
abseiling,1.031576602,1.600303052,,,1,53,53,,,55
absence,2.059304273,2.589331009,2.045443997,2.896499489,2.162,4516,4516,4292,4292,4597
absences,1.681811524,2.140097886,,,1.715,134,134,,,135
absent,1.984583638,2.427561346,1.946950766,2.745422818,2.117,1396,1396,1371,1371,1419
absentee,1.488283456,2.012543859,1.480585433,2.276600351,1.62,116,116,156,156,117
absenteeism,1.452502066,2.169006298,1.456942732,2.319776902,1.409,101,101,96,96,103
absentees,1.421400811,2.071206781,,,1.657,52,52,,,53
absently,1.191860194,0.857892677,1.104230725,1.444993991,1.302,182,182,185,185,186
absolute,1.966349188,2.435040931,1.942184827,2.741639845,2.109,2590,2590,2494,2494,2635
absolutely,1.818072275,1.932204922,1.743114726,2.310611689,1.941,3369,3369,3150,3150,3428
absolution,1.321321985,1.703903525,1.383056828,2.211139203,1.422,58,58,57,57,60
absolutism,1.123317833,1.580788994,1.036326555,1.711481016,1.253,49,49,50,50,51
absolutist,1.013340151,1.67744446,1.043281925,1.796538051,1.094,43,43,44,44,43
absolve,,,1.63400859,2.461457227,,,,129,129,
absolved,1.457798223,1.959680065,,,1.6,72,72,,,73
absorb,1.864408665,2.437406302,1.886545068,2.656438528,1.962,692,692,2058,2058,706
absorbed,1.873911646,2.29793865,1.596973962,2.224468073,1.991,1345,1345,126,126,1366
absorbent,1.395368339,2.088443888,1.313247967,2.180639824,1.413,67,67,68,68,72
absorber,,,1.267796355,2.210726567,,,,46,46,
absorbing,1.828312588,2.150995379,1.64652368,2.3673924,1.999,408,408,192,192,419
absorbs,1.448498792,2.218856815,,,1.523,146,146,,,151
absorption,1.552675991,2.639491527,1.64595002,2.870345553,1.474,526,526,486,486,537
abstain,1.588110764,2.326498937,1.583460048,2.486775737,1.694,98,98,224,224,103
abstained,1.459010498,2.219635799,,,1.505,100,100,,,100
abstaining,1.488164468,2.534355656,,,1.488,48,48,,,48
abstention,1.439958114,2.187375294,1.186255343,1.809330031,1.479,87,87,224,224,92
abstentions,1.094133225,1.62853122,,,1.001,166,166,,,166
abstinence,1.37689035,2.124433524,1.376441082,2.243184993,1.359,108,108,108,108,112
abstract,1.645282703,2.463942344,1.688541917,2.755695182,1.663,1623,1623,1651,1651,1647
abstracted,1.587231915,1.993149235,1.619581685,2.404294625,1.694,115,115,62,62,118
abstracting,1.192457117,2.065371296,,,1.166,54,54,,,55
abstraction,1.3304558,2.052144218,1.376015571,2.269219296,1.407,338,338,397,397,348
abstractions,1.2419714,1.821534828,,,1.336,127,127,,,130
abstracts,1.272375403,2.243409651,,,1.198,112,112,,,117
absurd,1.725825701,1.870302355,1.655769272,2.208753582,1.888,824,824,798,798,843
absurdities,1.632677257,1.933026996,,,1.848,54,54,,,55
absurdity,1.576604049,1.915375491,1.544562535,2.180929168,1.764,214,214,262,262,215
absurdly,1.64949591,1.761913941,1.612485938,2.103445155,1.887,173,173,167,167,176
abta,0.694504033,1.395274762,0.755646759,1.488417921,0.63,41,41,40,40,45
abu,1.113182943,1.89813224,1.130956852,1.963668528,1.11,254,254,229,229,256
abundance,1.687271641,2.300094693,1.668907606,2.602644731,1.838,533,533,516,516,541
abundant,1.564056633,2.447102677,1.568559225,2.713628901,1.677,522,522,509,509,529
abundantly,1.786483426,2.283686751,1.788882525,2.591195587,1.877,161,161,153,153,164
abuse,1.64633822,2.183755333,1.714578167,2.383297065,1.665,1946,1946,2407,2407,1984
abused,1.593144912,2.03927114,1.286470871,1.962374781,1.643,552,552,78,78,556
abuser,,,1.182877862,2.013725372,,,,90,90,
abusers,1.181572826,2.025596226,,,1.2,67,67,,,67
abuses,1.373934609,2.037668919,,,1.384,369,369,,,375
abusing,1.630196661,2.178548733,,,1.651,157,157,,,161
abusive,1.383974279,2.017387293,1.443546368,2.242427288,1.388,173,173,165,165,177
