"","id","title","n_words","n_tokens","n_w","n_c","n_s","publication_date","text_type","context","respondent_age","respondent_class","respondent_sex","interaction_type","region","author_age","author_domicile","author_sex","author_type","audience_age","domain","difficulty","medium","publication_place","sampling_type","circulation","audience_sex","availability","mode","derived_type","genre"
"495","AKP","Daily Telegraph, electronic edition of 1992-04-15: News and features. Sample containing about 2421 words from a periodical (domain: social science)",2414,2731,2446,285,120,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","social_science","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:social"
"496","AKR","Daily Telegraph, electronic edition of 1992-04-15: Foreign news pages. Sample containing about 21029 words from a periodical (domain: world affairs)",21070,23865,21203,2662,983,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:misc"
"497","AKS","Daily Telegraph, electronic edition of 1992-04-16: Arts section. Sample containing about 7113 words from a periodical (domain: arts)",7167,8300,7219,1081,371,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","arts","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:arts"
"498","AKT","Daily Telegraph, electronic edition of 1992-04-16: Religious affairs stories. Sample containing about 924 words from a periodical (domain: belief and thought)",922,1082,934,148,49,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","belief_thought","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:social"
"499","AKU","Daily Telegraph, electronic edition of 1992-04-16: Business section. Sample containing about 14339 words from a periodical (domain: commerce)",14298,16181,14440,1741,715,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","commerce_finance","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:commerce"
"500","AKV","Daily Telegraph, electronic edition of 1992-04-16: Leisure pages. Sample containing about 18973 words from a periodical (domain: leisure)",19127,21961,19221,2740,912,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","leisure","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:misc"
"501","AKW","Daily Telegraph, electronic edition of 1992-04-16: Applied Science pages. Sample containing about 566 words from a periodical (domain: natural sciences)",566,643,571,72,31,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","natural_science","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:science"
"502","AKX","Daily Telegraph, electronic edition of 1992-04-16: News and features. Sample containing about 3447 words from a periodical (domain: social science)",3459,4003,3488,515,159,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","social_science","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:social"
"503","AKY","Daily Telegraph, electronic edition of 1992-04-16: Foreign news pages. Sample containing about 21708 words from a periodical (domain: world affairs)",21740,24678,21885,2793,1066,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:misc"
"504","AL0","Daily Telegraph, electronic edition of 1992-04-17: Arts section. Sample containing about 4958 words from a periodical (domain: arts)",5018,5734,5052,682,245,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","arts","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:arts"
"505","AL1","Daily Telegraph, electronic edition of 1992-04-17: Religious affairs stories. Sample containing about 309 words from a periodical (domain: belief and thought)",308,351,310,41,11,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","belief_thought","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:social"
"506","AL2","Daily Telegraph, electronic edition of 1992-04-17: Business section. Sample containing about 8841 words from a periodical (domain: commerce)",8858,9913,8919,994,426,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","commerce_finance","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:commerce"
"507","AL3","Daily Telegraph, electronic edition of 1992-04-17: Leisure pages. Sample containing about 37650 words from a periodical (domain: leisure)",37792,43232,38065,5167,1818,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","leisure","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:misc"
"508","AL4","Daily Telegraph, electronic edition of 1992-04-17: Applied Science pages. Sample containing about 277 words from a periodical (domain: natural sciences)",275,304,276,28,11,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","natural_science","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:science"
"509","AL5","Daily Telegraph, electronic edition of 1992-04-17: News and features. Sample containing about 2439 words from a periodical (domain: social science)",2431,2792,2459,333,137,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","social_science","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:social"
"510","AL6","Daily Telegraph, electronic edition of 1992-04-17: Foreign news pages. Sample containing about 21674 words from a periodical (domain: world affairs)",21688,24644,21852,2792,1056,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:misc"
"511","AL7","[Leaflets advertising services]. Sample containing about 5809 words of miscellanea (domain: commerce)",5814,6626,5843,783,387,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","commerce_finance","low","misc_published","UK","unknown","medium","mixed","unclaimed","written","misc_published","W:advert"
"512","AL8","Adult education and social purpose. Sample containing about 40664 words from a book (domain: world affairs)",40523,44762,40954,3808,1290,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","UK","unknown","multiple","adult","world_affairs","medium","book","UK_south","middle","medium","mixed","cleared","written","prose","W:non_ac:soc_science"
"513","AL9","Rural development in Lewis and Harris. Sample containing about 7019 words of miscellanea (domain: applied science)",6953,7790,7036,754,282,"1975-1984","written_misc","---","---","---","---","---","---","unknown","UK","male","sole","adult","applied_science","high","misc_published","UK_north","whole","low","mixed","cleared","written","misc_published","W:misc"
"514","ALA","The part-time holding. Sample containing about 7572 words of miscellanea (domain: applied science)",7494,8359,7564,795,344,"1975-1984","written_misc","---","---","---","---","---","---","60+","UK","male","sole","adult","applied_science","high","misc_published","UK_north","whole","low","mixed","cleared","written","prose","W:non_ac:soc_science"
"515","ALB","Popular education for change. Sample containing about 10880 words of miscellanea (domain: applied science)",10800,12045,10906,1139,348,"1975-1984","written_misc","---","---","---","---","---","---","unknown","UK","male","sole","adult","applied_science","high","misc_published","unknown","whole","low","mixed","cleared","written","prose","W:non_ac:polit_law_edu"
"516","ALC","Effective training for family and part-time farmers. Sample containing about 28094 words of miscellanea (domain: applied science)",27914,30725,28148,2577,1440,"1985-1993","written_misc","---","---","---","---","---","---","unknown","UK","male","sole","adult","applied_science","high","misc_published","unknown","whole","low","mixed","cleared","written","misc_published","W:misc"
"517","ALE","Small is beautiful in education too. Sample containing about 6135 words of miscellanea (domain: applied science)",6096,6901,6152,749,314,"1975-1984","written_misc","---","---","---","---","---","---","unknown","UK","male","sole","adult","applied_science","high","misc_published","unknown","whole","low","mixed","cleared","written","prose","W:non_ac:polit_law_edu"
"518","ALF","Disadvantaged rural Europe. Sample containing about 11241 words of miscellanea (domain: applied science)",11108,12262,11248,1014,493,"1960-1974","written_misc","---","---","---","---","---","---","unknown","UK","male","sole","adult","applied_science","high","misc_published","unknown","whole","low","mixed","cleared","written","prose","W:non_ac:polit_law_edu"
"519","ALG","The agricultural potential of marginal areas. Sample containing about 4786 words of miscellanea (domain: applied science)",4709,5215,4771,444,178,"1975-1984","written_misc","---","---","---","---","---","---","unknown","UK","male","sole","adult","applied_science","high","misc_published","unknown","whole","low","mixed","cleared","written","prose","W:non_ac:polit_law_edu"
"520","ALH","An alternative assembly book. Sample containing about 34698 words from a book (domain: social science)",34993,41000,35339,5661,2997,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","social_science","low","book","UK_south","middle","medium","mixed","cleared","written","prose","W:non_ac:soc_science"
"521","ALJ","Bad dreams. Sample containing about 28063 words from a book (domain: imaginative)",28234,34323,28485,5838,2833,"1985-1993","written_books_periodicals","---","---","---","---","---","---","25-34","UK","male","sole","adult","imaginative","medium","book","UK_south","middle","medium","mixed","cleared","written","fiction","W:fict:prose"
"522","ALK","Richard Baxter 1615-1691. Sample containing about 16775 words of miscellanea (domain: world affairs)",16821,19132,16966,2166,850,"1985-1993","written_misc","---","---","---","---","---","---","unknown","UK","male","sole","adult","world_affairs","medium","misc_published","UK_midlands","unknown","low","mixed","cleared","written","prose","W:biography"
"523","ALL","Bell in the tree. The Glasgow story. Sample containing about 38393 words from a book (domain: world affairs)",38831,46967,39100,7867,2728,"1985-1993","written_books_periodicals","---","---","---","---","---","---","35-44","UK","male","sole","adult","world_affairs","medium","book","UK_north","middle","medium","mixed","cleared","written","misc_published","W:misc"
"524","ALM","British journal of social work. Sample containing about 31815 words from a periodical (domain: social science)",31367,36137,31872,4265,1421,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","social_science","high","periodical","UK_south","middle","medium","mixed","cleared","written","academic","W:ac:soc_science"
"525","ALN","British journal of social work. Sample containing about 23152 words from a periodical (domain: social science)",22853,26161,23159,3002,908,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","social_science","high","periodical","UK_south","middle","medium","mixed","cleared","written","academic","W:ac:soc_science"
"526","ALP","British journal of social work. Sample containing about 25204 words from a periodical (domain: social science)",24705,28773,25277,3496,1078,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","social_science","high","periodical","UK_south","middle","medium","mixed","cleared","written","academic","W:ac:soc_science"
"527","ALS","Captain Pugwash and the huge reward. Sample containing about 4149 words from a book (domain: imaginative)",4223,5173,4264,909,314,"1985-1993","written_books_periodicals","---","---","---","---","---","---","60+","UK","male","sole","child","imaginative","medium","book","UK_south","whole","high","mixed","cleared","written","fiction","W:fict:prose"
