"","id","title","n_words","n_tokens","n_w","n_c","n_s","publication_date","text_type","context","respondent_age","respondent_class","respondent_sex","interaction_type","region","author_age","author_domicile","author_sex","author_type","audience_age","domain","difficulty","medium","publication_place","sampling_type","circulation","audience_sex","availability","mode","derived_type","genre"
"1","A00","[ACET factsheets & newsletters]. Sample containing about 6688 words of miscellanea (domain: social science)",6673,7518,6708,810,423,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","social_science","medium","misc_published","UK_south","composite","medium","mixed","cleared","written","prose","W:non_ac:medicine"
"2","A01","[ACET AIDS leaflets]. Sample containing about 7851 words of miscellanea (domain: social science)",7816,8801,7898,903,588,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","social_science","low","misc_published","UK_south","composite","low","mixed","cleared","written","prose","W:non_ac:medicine"
"3","A02","ACET Annual Review 1990/91. Sample containing about 3378 words of miscellanea (domain: social science)",3347,3703,3376,327,223,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","social_science","medium","misc_published","UK_south","whole","low","mixed","cleared","written","misc_published","W:institut_doc"
"4","A03","Amnesty. Sample containing about 19310 words from a periodical (domain: world affairs)",19255,21701,19433,2268,1051,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","world_affairs","medium","periodical","UK_south","whole","high","mixed","cleared","written","misc_published","W:pop_lore"
"5","A04","Art criticism: a user's guide. Sample containing about 38875 words from a book (domain: arts)",38802,43861,39163,4698,1621,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","UK","male","sole","adult","arts","high","book","UK_south","beginning","medium","mixed","cleared","written","academic","W:ac:humanities_arts"
"6","A05","Authors. Sample containing about 41110 words from a book (domain: arts)",41008,47403,41363,6040,1706,"1985-1993","written_books_periodicals","---","---","---","---","---","---","45-59","UK","male","sole","adult","arts","high","book","UK_south","middle","low","mixed","cleared","written","academic","W:ac:humanities_arts"
"7","A06","So you want to be an actor?. Sample containing about 35807 words from a book (domain: arts)",35894,40556,36208,4348,2404,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","UK","male","sole","adult","arts","low","book","UK_south","beginning","medium","mixed","cleared","written","prose","W:non_ac:humanities_arts"
"8","A07","The tragedy of belief. Sample containing about 39139 words from a book (domain: belief and thought)",38722,43507,39198,4309,1513,"1985-1993","written_books_periodicals","---","---","---","---","---","---","45-59","UK","male","sole","adult","belief_thought","high","book","UK_south","middle","low","mixed","cleared","written","academic","W:ac:humanities_arts"
"9","A08","The big glass. Sample containing about 40097 words from a book (domain: imaginative)",39775,47332,40186,7146,3201,"1985-1993","written_books_periodicals","---","---","---","---","---","---","45-59","UK","male","sole","adult","imaginative","high","book","UK_north","beginning","medium","mixed","cleared","written","fiction","W:fict:prose"
"10","A0A","[CAMRA fact sheets]. Sample containing about 5782 words of miscellanea (domain: leisure)",5722,6362,5776,586,295,"unknown","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","leisure","medium","misc_published","UK_south","composite","medium","mixed","cleared","written","misc_published","W:misc"
"11","A0B","Trouble brewing. Sample containing about 11686 words of miscellanea (domain: leisure)",11638,13332,11749,1583,449,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","leisure","medium","misc_published","UK_south","whole","medium","mixed","cleared","written","misc_published","W:misc"
"12","A0C","Caterer & Hotelkeeper. Sample containing about 30073 words from a periodical (domain: social science)",30040,34052,30258,3794,1671,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","social_science","medium","periodical","UK_south","unknown","medium","mixed","cleared","written","misc_published","W:misc"
"13","A0D","A classic English crime. Sample containing about 36147 words from a book (domain: imaginative)",36716,45395,37033,8362,2998,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","imaginative","medium","book","UK_south","end","high","mixed","cleared","written","fiction","W:fict:prose"
"14","A0E","The seventh Birmingham International Film & TV Festival. Sample containing about 14737 words from a periodical (domain: arts)",14843,16918,14916,2002,865,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","arts","medium","periodical","UK_midlands","whole","medium","mixed","cleared","written","misc_published","W:misc"
"15","A0F","Part of the furniture. Sample containing about 39211 words from a book (domain: imaginative)",40062,48780,40478,8302,3417,"1985-1993","written_books_periodicals","---","---","---","---","---","---","15-24","UK","male","sole","adult","imaginative","medium","book","UK_south","whole","medium","mixed","cleared","written","fiction","W:fict:prose"
"16","A0G","Gardeners' World. Sample containing about 35764 words from a periodical (domain: natural sciences)",36102,41033,36402,4631,2754,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","natural_science","low","periodical","UK_south","unknown","high","mixed","cleared","written","misc_published","W:pop_lore"
"17","A0H","Gliding safety. Sample containing about 39656 words from a book (domain: leisure)",39287,43180,39742,3438,1832,"1985-1993","written_books_periodicals","---","---","---","---","---","---","45-59","UK","male","sole","adult","leisure","medium","book","UK_south","beginning","low","mixed","cleared","written","misc_published","W:misc"
"18","A0J","[Health promotion and education leaflets]. Sample containing about 24448 words of miscellanea (domain: natural sciences)",24222,27294,24438,2856,2063,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","natural_science","low","misc_published","unknown","unknown","medium","mixed","unclaimed","written","misc_published","W:misc"
"19","A0K","An inside job. Sample containing about 38619 words from a book (domain: social science)",38571,44107,38910,5197,1216,"1985-1993","written_books_periodicals","---","---","---","---","---","---","45-59","unknown","male","sole","adult","social_science","high","book","UK_south","whole","low","mixed","cleared","written","academic","W:ac:soc_science"
"20","A0L","Jay loves Lucy. Sample containing about 40572 words from a book (domain: imaginative)",41322,51423,41642,9781,3902,"1985-1993","written_books_periodicals","---","---","---","---","---","---","25-34","UK","female","sole","adult","imaginative","medium","book","UK_south","whole","medium","mixed","cleared","written","fiction","W:fict:prose"
"21","A0M","Winning karate competition. Sample containing about 23736 words from a book (domain: leisure)",23628,26340,23935,2405,1407,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","male","sole","adult","leisure","medium","book","UK_south","whole","medium","male","cleared","written","misc_published","W:misc"
"22","A0N","King Cameron. Sample containing about 39784 words from a book (domain: imaginative)",39334,46943,39659,7284,2688,"1985-1993","written_books_periodicals","---","---","---","---","---","---","45-59","UK","male","sole","adult","imaginative","medium","book","UK_north","beginning","medium","mixed","cleared","written","fiction","W:fict:prose"
"23","A0P","Leonard Cohen: prophet of the heart. Sample containing about 41603 words from a book (domain: arts)",41415,49460,41886,7574,1888,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","UK","mixed","multiple","adult","arts","medium","book","UK_south","beginning","medium","mixed","cleared","written","prose","W:biography"
"24","A0R","Nudists may be encountered. Sample containing about 32309 words from a book (domain: imaginative)",32667,39884,32981,6903,3101,"1985-1993","written_books_periodicals","---","---","---","---","---","---","35-44","UK","female","sole","adult","imaginative","medium","book","UK_south","beginning","low","mixed","cleared","written","fiction","W:fict:prose"
"25","A0S","[Official leaflets]. Sample containing about 1515 words of miscellanea (domain: commerce)",1467,1675,1490,185,185,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","unknown","adult","commerce_finance","low","misc_published","UK","unknown","high","mixed","unclaimed","written","misc_published","W:misc"
"26","A0T","The pursuit of mind. Sample containing about 39428 words from a book (domain: belief and thought)",38904,44523,39539,4984,1517,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","male","multiple","adult","belief_thought","high","book","UK_north","beginning","low","mixed","cleared","written","academic","W:ac:humanities_arts"
"27","A0U","So very English. Sample containing about 35634 words from a book (domain: imaginative)",36174,42614,36491,6123,2639,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","imaginative","high","book","UK_south","end","medium","mixed","cleared","written","fiction","W:fict:prose"
"28","A0V","Tennis World. Sample containing about 19953 words from a periodical (domain: leisure)",19949,22728,20159,2569,1206,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","leisure","low","periodical","UK_south","unknown","low","mixed","cleared","written","misc_published","W:pop_lore"
"29","A0W","Fitness with weights. Sample containing about 10589 words from a book (domain: leisure)",10517,11713,10594,1119,670,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","male","sole","adult","leisure","low","book","UK_south","whole","medium","mixed","cleared","written","misc_published","W:misc"
"30","A0X","Woodworker. Sample containing about 31862 words from a periodical (domain: leisure)",31803,35877,32056,3821,1805,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","leisure","medium","periodical","UK_south","whole","medium","mixed","cleared","written","misc_published","W:pop_lore"
"31","A0Y","[Age Concern fact sheets]. Sample containing about 18464 words of miscellanea (domain: social science)",18325,20968,18481,2487,1210,"unknown","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","social_science","low","misc_published","UK_south","unknown","high","mixed","cleared","written","prose","W:non_ac:soc_science"
"32","A10","[Age Concern newsletter and information]. Sample containing about 23199 words of miscellanea (domain: social science)",22952,26021,23142,2879,1428,"unknown","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","social_science","low","misc_published","UK_south","unknown","low","mixed","cleared","written","prose","W:non_ac:soc_science"
"33","A11","BR in the eighties. Sample containing about 40836 words from a book (domain: world affairs)",40529,45227,40951,4276,1655,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","book","UK_south","beginning","medium","mixed","cleared","written","misc_published","W:misc"
"34","A12","A ballet-maker's handbook. Sample containing about 46386 words from a book (domain: arts)",46216,51139,46737,4402,1976,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","female","sole","adult","arts","medium","book","UK_south","end","high","mixed","cleared","written","prose","W:non_ac:humanities_arts"
"35","A13","[CAMRA information leaflets]. Sample containing about 4455 words of miscellanea (domain: leisure)",4421,4946,4460,486,296,"unknown","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","leisure","low","misc_published","unknown","unknown","low","mixed","cleared","written","misc_published","W:misc"
"36","A14","What's brewing. Sample containing about 22108 words of miscellanea (domain: leisure)",22227,25217,22428,2789,1190,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","leisure","medium","misc_published","unknown","unknown","low","male","cleared","written","misc_published","W:misc"
"37","A15","Climber and Hill Walker. Sample containing about 30080 words from a periodical (domain: leisure)",30086,34169,30305,3864,1584,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","leisure","medium","periodical","UK_north","unknown","low","mixed","cleared","written","misc_published","W:pop_lore"
"38","A16","Do It Yourself Magazine. Sample containing about 32288 words from a periodical (domain: leisure)",32077,36171,32343,3828,1895,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","leisure","medium","periodical","UK_south","unknown","medium","mixed","unclaimed","written","misc_published","W:instructional"
"39","A17","Dogs Today. Sample containing about 23352 words from a periodical (domain: leisure)",23511,27014,23716,3298,1708,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","leisure","low","periodical","UK_south","unknown","medium","mixed","cleared","written","misc_published","W:pop_lore"
"40","A18","Dostoevsky. Sample containing about 34134 words from a book (domain: arts)",34351,40251,34711,5540,1525,"1975-1984","written_books_periodicals","---","---","---","---","---","---","unknown","UK","male","sole","adult","arts","high","book","UK_south","middle","medium","mixed","cleared","written","academic","W:ac:humanities_arts"
"41","A19","Electronics and Wireless World. Sample containing about 39977 words from a periodical (domain: applied science)",39646,44747,40006,4741,2285,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","applied_science","high","periodical","UK_south","unknown","low","mixed","cleared","written","prose","W:non_ac:tech_engin"
"42","A1A","Exploding English. Sample containing about 40696 words from a book (domain: arts)",40516,46958,40960,5998,1540,"1985-1993","written_books_periodicals","---","---","---","---","---","---","60+","UK","male","sole","adult","arts","high","book","UK_south","middle","high","mixed","cleared","written","academic","W:ac:humanities_arts"
"43","A1B","Studies in Ezra Pound. Sample containing about 47238 words from a book (domain: arts)",47057,55072,47616,7456,2112,"1985-1993","written_books_periodicals","---","---","---","---","---","---","60+","unknown","male","sole","adult","arts","high","book","UK_south","middle","medium","mixed","cleared","written","academic","W:ac:humanities_arts"
"44","A1D","Independent, electronic edition of 1989-10-02: Arts section. Sample containing about 4142 words from a periodical (domain: arts)",4172,4705,4191,514,166,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","arts","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:arts"
"45","A1E","Independent, electronic edition of 1989-10-02: Business section. Sample containing about 9537 words from a periodical (domain: commerce)",9504,10805,9627,1178,467,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","commerce_finance","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:commerce"
"46","A1F","Independent, electronic edition of 1989-10-02: Editorials. Sample containing about 8717 words from a periodical (domain: world affairs)",8738,9913,8821,1092,441,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:editorial"
"47","A1G","Independent, electronic edition of 1989-10-02: Foreign news pages. Sample containing about 9909 words from a periodical (domain: world affairs)",9927,11224,9991,1233,488,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:report"
"48","A1H","Independent, electronic edition of 1989-10-02: Gazette section. Sample containing about 3007 words from a periodical (domain: world affairs)",3016,3425,3038,387,144,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:misc"
"49","A1J","Independent, electronic edition of 1989-10-02: Home news pages. Sample containing about 13407 words from a periodical (domain: world affairs)",13404,15259,13541,1718,654,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:report"
"50","A1K","Independent, electronic edition of 1989-10-02: Listings section. Sample containing about 1842 words from a periodical (domain: arts)",1846,2147,1863,284,94,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","arts","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:arts"
"51","A1L","Independent, electronic edition of 1989-10-02: Living section. Sample containing about 1788 words from a periodical (domain: leisure)",1795,2057,1815,242,91,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","leisure","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:social"
"52","A1M","Independent, electronic edition of 1989-10-02: Science pages. Sample containing about 4808 words from a periodical (domain: natural sciences)",4784,5399,4838,561,237,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","natural_science","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:science"
"53","A1N","Independent, electronic edition of 1989-10-02: Sport section. Sample containing about 14330 words from a periodical (domain: leisure)",14421,16393,14550,1843,728,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","leisure","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:sports"
"54","A1P","Independent, electronic edition of 1989-10-02: Frontpages. Sample containing about 2488 words from a periodical (domain: world affairs)",2493,2819,2519,300,103,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:misc"
"55","A1R","Independent, electronic edition of 1989-10-03: Arts section. Sample containing about 1548 words from a periodical (domain: arts)",1541,1761,1555,206,61,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","arts","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:arts"
"56","A1S","Independent, electronic edition of 1989-10-03: Business section. Sample containing about 11118 words from a periodical (domain: commerce)",11058,12366,11222,1144,554,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","commerce_finance","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:commerce"
"57","A1T","Independent, electronic edition of 1989-10-03: Editorials. Sample containing about 8816 words from a periodical (domain: world affairs)",8820,10092,8890,1202,427,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:editorial"
"58","A1U","Independent, electronic edition of 1989-10-03: Focus section. Sample containing about 4059 words from a periodical (domain: social science)",4041,4636,4076,560,205,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","social_science","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:misc"
"59","A1V","Independent, electronic edition of 1989-10-03: Foreign news pages. Sample containing about 22274 words from a periodical (domain: world affairs)",22302,25429,22498,2931,1036,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:report"
"60","A1W","Independent, electronic edition of 1989-10-03: Gazette section. Sample containing about 3840 words from a periodical (domain: world affairs)",3858,4288,3869,419,174,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:misc"
"61","A1X","Independent, electronic edition of 1989-10-03: Health pages. Sample containing about 3223 words from a periodical (domain: applied science)",3206,3722,3235,487,189,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","applied_science","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:social"
"62","A1Y","Independent, electronic edition of 1989-10-03: Home news pages. Sample containing about 15112 words from a periodical (domain: world affairs)",15152,17225,15272,1953,742,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:report"
"63","A20","Independent, electronic edition of 1989-10-03: Listings section. Sample containing about 1615 words from a periodical (domain: arts)",1623,1926,1636,290,86,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","arts","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:arts"
"64","A21","Independent, electronic edition of 1989-10-03: Business section. Sample containing about 1352 words from a periodical (domain: commerce)",1346,1548,1360,188,68,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","commerce_finance","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:commerce"
"65","A22","Independent, electronic edition of 1989-10-03: Sport pages. Sample containing about 8163 words from a periodical (domain: leisure)",8225,9400,8307,1093,402,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","leisure","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:sports"
"66","A23","Independent, electronic edition of 1989-10-03: Frontpages. Sample containing about 2420 words from a periodical (domain: world affairs)",2437,2758,2450,308,117,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:misc"
"67","A24","Independent, electronic edition of 1989-10-04: Living section. Sample containing about 3247 words from a periodical (domain: arts)",3242,3659,3275,384,156,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","arts","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:arts"
"68","A25","Independent, electronic edition of 1989-10-04: Arts section. Sample containing about 3383 words from a periodical (domain: arts)",3396,3883,3418,465,142,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","arts","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:arts"
"69","A26","Independent, electronic edition of 1989-10-04: Business section. Sample containing about 10899 words from a periodical (domain: commerce)",10836,12119,10970,1149,546,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","commerce_finance","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:commerce"
"70","A27","Independent, electronic edition of 1989-10-04: Editorials. Sample containing about 8475 words from a periodical (domain: world affairs)",8441,9609,8548,1061,402,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:editorial"
"71","A28","Independent, electronic edition of 1989-10-04: Foreign news pages. Sample containing about 11135 words from a periodical (domain: world affairs)",11166,12665,11240,1425,549,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:report"
"72","A29","Independent, electronic edition of 1989-10-04: Gazette section. Sample containing about 3349 words from a periodical (domain: social science)",3353,3832,3392,440,133,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","social_science","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:misc"
"73","A2A","Independent, electronic edition of 1989-10-04: Home news pages. Sample containing about 15224 words from a periodical (domain: world affairs)",15269,17380,15389,1991,731,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:report"
"74","A2B","Independent, electronic edition of 1989-10-04: Listings section. Sample containing about 2012 words from a periodical (domain: arts",2009,2238,2020,218,91,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","arts","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:arts"
"75","A2C","Independent, electronic edition of 1989-10-04: Living section. Sample containing about 3299 words from a periodical (domain: leisure)",3309,3748,3334,414,165,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","leisure","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:social"
"76","A2D","Independent, electronic edition of 1989-10-04: Media section. Sample containing about 2632 words from a periodical (domain: arts)",2653,3041,2668,373,136,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","arts","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:arts"
"77","A2E","Independent, electronic edition of 1989-10-04: Sport pages. Sample containing about 12646 words from a periodical (domain: leisure)",12756,14448,12843,1605,611,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","leisure","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:sports"
"78","A2F","Independent, electronic edition of 1989-10-04: Frontpages. Sample containing about 3151 words from a periodical (domain: world affairs)",3149,3592,3177,415,138,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:misc"
"79","A2G","Independent, electronic edition of 1989-10-05: Arts section. Sample containing about 6149 words from a periodical (domain: arts)",6216,7182,6257,925,265,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","arts","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:arts"
"80","A2H","Independent, electronic edition of 1989-10-05: Business section. Sample containing about 11826 words from a periodical (domain: commerce)",11761,13258,11923,1335,621,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","commerce_finance","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:commerce"
"81","A2J","Independent, electronic edition of 1989-10-05: Editorials. Sample containing about 8443 words from a periodical (domain: world affairs)",8443,9623,8526,1097,452,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:editorial"
"82","A2K","Independent, electronic edition of 1989-10-05: Education section. Sample containing about 2948 words from a periodical (domain: social science)",2971,3387,2991,396,153,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","social_science","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:misc"
"83","A2L","Independent, electronic edition of 1989-10-05: Focus section. Sample containing about 4197 words from a periodical (domain: social science)",4167,4763,4216,547,256,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","social_science","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:misc"
"84","A2M","Independent, electronic edition of 1989-10-05: Foreign news pages. Sample containing about 9594 words from a periodical (domain: world affairs)",9621,10890,9701,1189,460,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:report"
"85","A2N","Independent, electronic edition of 1989-10-05: Gazette section. Sample containing about 2906 words from a periodical (domain: world affairs)",2909,3276,2933,343,128,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:misc"
"86","A2P","Independent, electronic edition of 1989-10-05: Home news pages. Sample containing about 15591 words from a periodical (domain: world news)",15627,17788,15771,2017,764,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:report"
"87","A2R","Independent, electronic edition of 1989-10-05: Listings section. Sample containing about 2818 words from a periodical (domain: arts)",2861,3347,2877,470,110,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","arts","medium","periodical","UK_south","unknown","high","mixed","cleared","written","newspaper","W:newsp:brdsht_nat:arts"
