Word,SemD,cosMean,WordCount,nContexts
claimant,1.293668726,0.050854721,286,166
claimants,1.257414485,0.055282225,415,259
claimed,1.891464239,0.012839135,7974,6280
claiming,1.912047754,0.012244815,2096,1942
claims,1.859512613,0.013819343,8541,5997
clair,1.593602554,0.025491621,80,71
claire,1.482252165,0.032941839,813,390
clam,1.53575934,0.029123305,74,62
clamber,1.381207375,0.041571206,90,90
clambered,1.231563829,0.058672713,201,195
clambering,1.450670161,0.03542663,84,83
clammy,1.210577308,0.061577591,103,99
clamour,1.743011981,0.018071243,162,156
clamouring,1.689552374,0.020438434,86,85
clamp,1.587785401,0.025835365,264,181
clampdown,1.446055686,0.035805052,97,89
clamped,1.367719413,0.042882548,282,263
clamping,1.374329802,0.042234776,131,91
clamps,1.439999638,0.036307836,79,63
clan,1.434971087,0.036730675,420,298
clandestine,1.606354127,0.024754028,176,164
clang,1.317449674,0.048144904,67,65
clanging,1.402288507,0.039601487,51,50
clanking,1.336787212,0.046048214,64,56
clans,1.263022285,0.054572986,129,108
clap,1.504595892,0.031289895,158,132
clapham,1.442348854,0.036111967,277,202
clapped,1.37545453,0.042125539,281,266
clapping,1.426690306,0.037437746,165,151
clapton,0.808119302,0.155553826,137,96
clara,1.153120221,0.070287772,435,183
clare,1.209463025,0.061735785,1534,714
clarence,1.33718251,0.046006319,260,166
clarendon,1.189106851,0.064698342,81,73
clares,0.974826516,0.105967694,135,100
claret,1.262348618,0.054657704,198,161
claridges,1.262150135,0.054682689,58,43
clarification,1.790422607,0.016202327,391,333
clarified,2.01023717,0.009767037,297,276
clarify,1.877181005,0.013268413,751,692
clarifying,1.693035935,0.02027515,152,147
clarinet,0.627104509,0.235991028,195,96
clarion,1.460608521,0.034625135,82,61
clarissa,0.778665132,0.166469574,233,64
clarity,1.686728718,0.020571752,991,892
clark,1.660203968,0.021867344,1577,1045
clarke,1.499642883,0.03164879,1815,1102
clarkes,1.497375634,0.031814446,166,132
clarks,1.638021946,0.023013255,185,135
clarkson,1.210646742,0.061567747,138,75
clash,1.311211111,0.048841488,1282,1092
clashed,1.759360365,0.017403622,287,276
clashes,1.540061741,0.028836215,682,572
clashing,1.716446758,0.019211145,96,94
clasp,1.25767348,0.055249267,152,142
clasped,1.26399555,0.054450823,412,393
clasping,1.323700113,0.047456957,106,106
class,1.680970137,0.020846342,21649,9901
classed,1.930978908,0.011722523,290,270
classes,1.631347787,0.02336965,5567,3428
classic,1.689713027,0.020430875,3212,2709
classical,1.462717194,0.034457424,3355,2116
classically,1.755599315,0.017554994,128,124
classicism,1.007868349,0.098204559,105,85
classics,1.400378993,0.039775991,710,589
classification,1.704403303,0.019751346,1630,966
classifications,1.557999269,0.027669463,251,191
classificatory,0.997956673,0.100471602,62,43
classified,1.981304092,0.01043989,1197,1023
classify,1.780130259,0.016590892,328,301
classifying,1.606956801,0.0247197,173,155
